source_type,source_id,edge_type,target_type,target_id,weight
Product,1,IN_CATEGORY,Category,1,1.0
Product,2,IN_CATEGORY,Category,1,1.0
Product,3,IN_CATEGORY,Category,1,1.0
Product,4,IN_CATEGORY,Category,5,1.0
Product,5,IN_CATEGORY,Category,5,1.0
Product,6,IN_CATEGORY,Category,2,1.0
Product,7,IN_CATEGORY,Category,2,1.0
Product,8,IN_CATEGORY,Category,3,1.0
Product,9,IN_CATEGORY,Category,3,1.0
Product,10,IN_CATEGORY,Category,4,1.0
Product,11,IN_CATEGORY,Category,4,1.0
Product,12,IN_CATEGORY,Category,2,1.0
Product,13,IN_CATEGORY,Category,5,1.0
Product,14,IN_CATEGORY,Category,2,1.0
Product,15,IN_CATEGORY,Category,4,1.0
Product,16,IN_CATEGORY,Category,6,1.0
Product,17,IN_CATEGORY,Category,6,1.0
Product,18,IN_CATEGORY,Category,6,1.0
Product,19,IN_CATEGORY,Category,7,1.0
Product,20,IN_CATEGORY,Category,7,1.0
Product,21,IN_CATEGORY,Category,7,1.0
Product,22,IN_CATEGORY,Category,8,1.0
Product,23,IN_CATEGORY,Category,8,1.0
Product,24,IN_CATEGORY,Category,8,1.0
Product,25,IN_CATEGORY,Category,9,1.0
Product,26,IN_CATEGORY,Category,9,1.0
Product,27,IN_CATEGORY,Category,9,1.0
User,1,BOUGHT,Product,1,1.0
User,2,BOUGHT,Product,6,1.0
User,1,BOUGHT,Product,5,1.0
User,1,BOUGHT,Product,3,1.0
User,1,BOUGHT,Product,9,1.0
User,1,BOUGHT,Product,15,1.0
User,1,BOUGHT,Product,4,1.0
User,4,VIEWED,Product,11,6.0
User,2,VIEWED,Product,20,5.0
User,5,VIEWED,Product,22,2.0
User,2,VIEWED,Product,14,6.0
User,2,VIEWED,Product,19,2.0
User,3,VIEWED,Product,9,11.0
User,2,VIEWED,Product,7,4.0
User,1,VIEWED,Product,1,10.0
User,1,VIEWED,Product,11,2.0
User,5,VIEWED,Product,16,6.0
User,5,VIEWED,Product,18,8.0
User,1,VIEWED,Product,13,5.0
User,2,VIEWED,Product,16,4.0
User,1,VIEWED,Product,2,4.0
User,4,VIEWED,Product,10,4.0
User,5,VIEWED,Product,20,8.0
User,3,VIEWED,Product,12,2.0
User,1,VIEWED,Product,15,8.0
User,2,VIEWED,Product,21,4.0
User,2,VIEWED,Product,12,8.0
